combination,pairs_count,score,best_weighting,mean_balance,median_balance,std_balance,mean_mdd,worst_mdd,mean_sharpe,mean_sortino,mean_calmar,mean_ulcer,mean_var95,mean_cvar95,mean_omega,mean_cagr,median_cagr,prob_profit,prob_2x,prob_ruin,p5,p50,p95,p99
TRXUSDT + LTCUSDT + ARBUSDT + TONUSDT + DOGEUSDT + HBARUSDT,6,-74.59049087384936,risk_parity,3016.6888612464672,3038.112427689375,118.11904823056892,-0.6980057689188275,-0.7478598084675798,-337.01766775919384,-367.4966993699606,-1.4330522418071578,0.4624008472675406,-0.0022507260777579648,-0.002674304911216444,0.012315433989866353,-1.0,-1.0,0.0,0.0,1.0,2752.2353876629495,3038.112427689375,3151.993659021593,3198.115628921303
TRXUSDT + LTCUSDT + ARBUSDT + TONUSDT + AAVEUSDT + HBARUSDT,6,-86.42182904729765,risk_parity,2924.2883414189973,2942.127316125794,105.54250264978556,-0.7072461567485252,-0.7676335277938046,-397.23885526941575,-426.58349265421975,-1.4142419095612213,0.46971404317125565,-0.0022749910883605056,-0.0026618428458725896,0.008992793578393292,-1.0,-1.0,0.0,0.0,1.0,2692.7061294223636,2942.127316125794,3046.143860359135,3097.7672230379667
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT,6,-48.93238076260716,risk_parity,4389.029240187368,4431.4342493768345,179.9178003051104,-0.5607702564973261,-0.6520002617028596,-202.02155661237754,-240.0444040487539,-1.7849982836416471,0.35623174810650876,-0.0019525467040067438,-0.002467803881357157,0.0414416182970367,-0.9999999999995017,-0.9999999999995942,0.0,0.0,1.0,3934.4546613531825,4431.4342493768345,4582.147121160492,4633.155010692166
TRXUSDT + LTCUSDT + ARBUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,6,-71.896416295408,risk_parity,3237.785657028853,3269.864747077301,145.4529264145362,-0.6758985408614353,-0.7609428376708426,-322.38342177769675,-354.18415178378064,-1.4801728520397595,0.44450545266079855,-0.002137522157889192,-0.0025980328716378623,0.014007357251800467,-1.0,-1.0,0.0,0.0,1.0,2904.9971326027517,3269.864747077301,3400.9785340796466,3450.236663939554
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + TONUSDT + HBARUSDT,6,-60.43120300784807,risk_parity,3580.1189645741606,3600.065918000333,129.65416005620156,-0.6416512894912594,-0.7058893869979626,-266.93540536709565,-297.07475040368024,-1.5590952465326953,0.41744213552066844,-0.0022338423278965946,-0.002660109020775227,0.017108711065617795,-1.0,-1.0,0.0,0.0,1.0,3290.0932922211323,3600.065918000333,3745.5458048371092,3779.931685130548
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + TONUSDT + AAVEUSDT,6,-55.69354006071706,risk_parity,4151.387535163289,4178.866452167184,151.248328128272,-0.5845037769479389,-0.6489423146338328,-236.73285540200322,-273.7191030752751,-1.7119484017017006,0.3742055800625452,-0.0020241743173961147,-0.0024831658966077822,0.03042506553370478,-0.9999999999999991,-0.9999999999999993,0.0,0.0,1.0,3809.0111227613365,4178.866452167184,4319.551668805096,4376.889190730458
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + DOGEUSDT + AAVEUSDT,6,-45.778664656681784,equal,4523.832499391565,4561.726259275756,190.89954617887054,-0.5473270262544628,-0.6510275004057148,-176.45979952587984,-224.35814676316804,-1.8291486401247967,0.3472316578820514,-0.0020509280959246983,-0.0025378857247821416,0.07224885271699591,-0.9999999999985082,-0.9999999999988792,0.0,0.0,1.0,4047.4004774032696,4561.726259275756,4732.216506003874,4800.95090722066
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + DOGEUSDT + HBARUSDT,6,-50.82297498489487,equal,3748.6676325120416,3769.321167748827,147.6448098821791,-0.624803015858865,-0.6980307229163467,-209.08881252989272,-249.14947299435946,-1.6013700240078774,0.4048349893245144,-0.002295243765835068,-0.0027633875114913965,0.03911108338635701,-0.9999999999999959,-0.9999999999999972,0.0,0.0,1.0,3432.747016827827,3769.321167748827,3921.6331426384463,3980.6615385635255
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + AAVEUSDT + HBARUSDT,6,-58.37476789996198,risk_parity,3833.1434915996288,3858.2409289901607,146.02772987595944,-0.616319455717426,-0.690403406456287,-254.73106879110418,-286.9456942191736,-1.623415226931895,0.39787183358354844,-0.0021265534104992993,-0.0025593799677209187,0.020482035864220045,-1.0,-0.9999999999999999,0.0,0.0,1.0,3488.667117776908,3858.2409289901607,4006.311313408261,4086.636029721329
TRXUSDT + LTCUSDT + BTCUSDT + TONUSDT + DOGEUSDT + AAVEUSDT,6,-55.15216177585364,equal,3721.9633975375386,3751.349322100529,155.50039625054737,-0.6274451062995179,-0.7050205804617579,-236.27887415549503,-270.7749968851384,-1.594708950211809,0.4067593247549554,-0.0022216704591159456,-0.00278619883509818,0.028423559060932153,-1.0,-1.0,0.0,0.0,1.0,3378.108521941915,3751.349322100529,3904.817998866493,3973.470300721805
TRXUSDT + LTCUSDT + BTCUSDT + TONUSDT + DOGEUSDT + HBARUSDT,6,-58.91115241738739,risk_parity,3675.7550894645074,3706.2598788207333,145.57697024800774,-0.632036605378242,-0.7124729569589293,-258.9035191088667,-289.53652474484016,-1.5829914237079126,0.41007075007341287,-0.0021846296850716066,-0.0026664610075753706,0.018635892058674382,-1.0,-1.0,0.0,0.0,1.0,3325.684064374004,3706.2598788207333,3839.6541006704715,3884.714240010366
TRXUSDT + LTCUSDT + BTCUSDT + TONUSDT + AAVEUSDT + HBARUSDT,6,-67.32756818321684,risk_parity,3559.508484706342,3580.0897158113676,133.72214572794562,-0.6436945850853347,-0.73469948501613,-300.6974977799652,-331.54120272508277,-1.5541737129658686,0.41954042300777133,-0.0022246501104389903,-0.002628729456358888,0.014768206295939862,-1.0,-1.0,0.0,0.0,1.0,3254.306439419037,3580.0897158113676,3703.024187259187,3777.6690742903324
TRXUSDT + LTCUSDT + BTCUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,6,-55.91333147483215,equal,3755.5745889131017,3783.108430873664,151.88101543699307,-0.6240832508684301,-0.7000379291179255,-235.3056592042873,-274.6025809553374,-1.6032678045884483,0.40382339466474526,-0.0022289603415766206,-0.002694901911886337,0.030919873077439576,-1.0,-1.0,0.0,0.0,1.0,3400.2103345254072,3783.108430873664,3932.941529460818,3991.3175016973073
TRXUSDT + LTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT,6,-61.90555335984047,equal,2935.539065885697,2957.1426840148306,125.62851015326372,-0.7061462078576212,-0.7580085046254158,-257.43716269731345,-304.02791245445763,-1.4165755942643525,0.468919814023963,-0.0024152209004829218,-0.0029878919366006576,0.030925874749669367,-1.0,-1.0,0.0,0.0,1.0,2659.2097098750323,2957.1426840148306,3099.6255499088093,3136.179173720266
TRXUSDT + LTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + HBARUSDT,6,-66.40467265220998,risk_parity,3033.15375569752,3056.0374600266914,119.84889124793135,-0.6963598054540278,-0.7437100511739357,-294.2470520753306,-326.58340306476373,-1.4364558770096398,0.4608988384502167,-0.002275162089904467,-0.0027031277782552537,0.016481034813459507,-1.0,-1.0,0.0,0.0,1.0,2754.613390179219,3056.0374600266914,3179.373766784509,3231.0194147839893
TRXUSDT + LTCUSDT + AVAXUSDT + TONUSDT + AAVEUSDT + HBARUSDT,6,-73.7078297959236,risk_parity,2921.2690205050085,2941.8939729512103,123.00586491542401,-0.7075552172647191,-0.775626991840626,-333.4514068837237,-363.0148371372607,-1.4137330566526531,0.4699236775036486,-0.0023069118221705036,-0.002766388464196428,0.012132767020649365,-1.0,-1.0,0.0,0.0,1.0,2666.7317139767792,2941.8939729512103,3060.8637296564075,3104.6932927303283
TRXUSDT + LTCUSDT + AVAXUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,6,-61.67456422639287,equal,2960.0098365269696,2975.2912341976134,119.21557352901424,-0.7036891440121517,-0.7596679821943257,-253.9971795289101,-302.8888646982786,-1.4214826749762592,0.46704409150329423,-0.0024307717273592323,-0.002919715380057978,0.0323901566797902,-1.0,-1.0,0.0,0.0,1.0,2699.2819230106975,2975.2912341976134,3108.2127912556,3160.2639520482862
TRXUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + AAVEUSDT,6,-58.51880206352159,risk_parity,3315.9199958913155,3343.021067385016,138.96936195367763,-0.668027743478922,-0.7370302430550618,-258.54666788101827,-287.3500345851004,-1.4975737746637925,0.43784095337398093,-0.0024347814230390404,-0.002973681785121437,0.01801876022349272,-1.0,-1.0,0.0,0.0,1.0,2975.6397802266797,3343.021067385016,3483.390980699221,3555.4857909302223
TRXUSDT + LTCUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,6,-72.13899078151918,risk_parity,3008.204345099849,3036.0527156937246,137.74737290480252,-0.6988618061965721,-0.7737631452711667,-325.34644495399016,-355.23731547528286,-1.4314369734037402,0.4626039329907302,-0.0022571769568045285,-0.002755841902709437,0.012849644403956756,-1.0,-1.0,0.0,0.0,1.0,2706.967852014072,3036.0527156937246,3156.966556240205,3215.4007336594623
